drop,network_model,avg_k,var_k,avg_cc,var_cc,avg_spl,shannon_entr
81,spatial_radius,4.271844660194175,4.295032519558866,0.5441516412390198,0.09535734454511863,9.169195965689513,2.9196573128779804
82,spatial_radius,4.196078431372549,4.918415993848521,0.5282272629331453,0.10087302723553303,16.57802383698577,2.9163200066906465
83,spatial_radius,5.3202614379084965,6.805929343414926,0.6061457786947984,0.05854322226203993,9.561877910205475,3.1849084926891904
84,spatial_radius,4.299401197604791,4.581017605507547,0.5458222083970586,0.09710849387059683,13.860231632543297,2.9566736653339882
85,spatial_radius,4.582089552238806,6.422365783025173,0.5179093708944454,0.0927129575197194,13.541768768099793,3.171395924115802
86,spatial_radius,4.056603773584905,3.279814880740477,0.5340820604971549,0.10911047445757306,9.219651121395517,2.8008266629532
87,spatial_radius,4.222222222222222,3.2522045855379185,0.5643424036281179,0.08406674723723367,9.198286722096242,2.7528638365225953
88,spatial_radius,4.290155440414508,3.0764315820558945,0.5546878855169011,0.0861078158880401,15.306290101747697,2.799237286574741
89,spatial_radius,3.5869565217391304,2.22069943289225,0.4890269151138717,0.10810743326946406,11.224480151228738,2.5020414844076644
90,spatial_radius,4.3544303797468356,2.684505688190995,0.562808921036769,0.0661333998963042,7.668642845697804,2.664218312244021
91,spatial_radius,3.4862385321100917,2.323205117414359,0.4782874617737003,0.10943203777597225,9.85472603316219,2.5413957322391454
